time_ms, data_main_bno_accx_mss, data_main_bno_accy_mss, data_main_bno_accz_mss, data_main_bno_qw, data_main_bno_qx, data_main_bno_qy, data_main_bno_qz, data_main_bno_roll, data_main_bno_pitch,data_main_bno_yaw, estimated_altitude_lake_m, altitude_dps_urm_offset_m.get(), flight_phase, speed_level, data_main_dps_pressure_hPa, data_main_dps_temperature_deg, data_main_dps_altitude_m, data_under_dps_pressure_hPa, data_under_dps_temperature_deg,data_under_dps_altitude_m, data_under_urm_altitude_m, data_air_dps_pressure_hPa, data_air_dps_temperature_deg, data_air_dps_altitude_m, data_air_sdp_differentialPressure_Pa, data_air_sdp_airspeed_ms, data_air_AoA_angle_deg, data_air_AoS_angle_deg,data_ics_angle, data_air_bno_accx_mss, data_air_bno_accy_mss, data_air_bno_accz_mss, data_air_bno_qw, data_air_bno_qx, data_air_bno_qy, data_air_bno_qz, data_air_bno_roll, data_air_bno_pitch, data_air_bno_yaw,data_main_gps_hour, data_main_gps_minute, data_main_gps_second, data_main_gps_centisecond, data_main_gps_latitude_deg, data_main_gps_longitude_deg, data_main_gps_altitude_m,data_main_gps_groundspeed_ms
6076,4.12,-0.75,8.75,0.98,-0.05,-0.21,-0.03,-24.74,5.16,-2.37,10.60,0.00,0,2,1003.43,33.47,87.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8485,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,46,10, 0.0000000, 0.0000000, 0.00, 0.00
6128,4.07,-0.80,8.95,0.98,-0.05,-0.21,-0.03,-24.64,5.12,-2.58,10.60,0.00,0,2,1003.43,33.49,87.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8486,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,46,10, 0.0000000, 0.0000000, 0.00, 0.00
6181,4.16,-0.55,8.91,0.98,-0.05,-0.21,-0.03,-24.66,5.04,-2.74,10.60,0.00,0,2,1003.43,33.49,87.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8485,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,46,10, 0.0000000, 0.0000000, 0.00, 0.00
6235,4.09,-0.83,8.86,0.98,-0.05,-0.21,-0.03,-24.67,4.97,-2.88,10.60,0.00,0,2,1003.43,33.48,87.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8485,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,46,10, 0.0000000, 0.0000000, 0.00, 0.00
6288,4.03,-0.78,9.07,0.98,-0.05,-0.21,-0.03,-24.74,4.93,-3.01,10.60,0.00,0,2,1003.43,33.50,87.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8485,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,46,10, 0.0000000, 0.0000000, 0.00, 0.00
6341,4.23,-0.77,8.96,0.98,-0.05,-0.21,-0.04,-24.86,4.93,-3.11,10.60,0.00,0,2,1003.43,33.49,87.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8485,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,46,10, 0.0000000, 0.0000000, 0.00, 0.00
6395,4.16,-0.83,8.77,0.97,-0.05,-0.22,-0.04,-25.05,4.90,-3.27,10.60,0.00,0,2,1003.43,33.49,87.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8485,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,46,10, 0.0000000, 0.0000000, 0.00, 0.00
6449,4.12,-0.88,8.88,0.97,-0.05,-0.22,-0.04,-25.20,4.77,-3.41,10.60,0.00,0,2,1003.43,33.47,87.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8485,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,46,10, 0.0000000, 0.0000000, 0.00, 0.00
6502,4.17,-0.73,8.96,0.97,-0.05,-0.22,-0.04,-25.34,4.70,-3.55,10.60,0.00,0,2,1003.43,33.48,87.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8485,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,47,10, 0.0000000, 0.0000000, 0.00, 0.00
6556,4.16,-0.78,8.78,0.97,-0.05,-0.22,-0.04,-25.58,4.65,-3.67,10.60,0.00,0,2,1003.43,33.50,87.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8485,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,47,10, 0.0000000, 0.0000000, 0.00, 0.00
6608,4.11,-0.77,8.67,0.97,-0.05,-0.22,-0.04,-25.78,4.65,-3.77,10.60,0.00,0,2,1003.44,33.50,87.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8485,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,47,10, 0.0000000, 0.0000000, 0.00, 0.00
6665,4.22,-0.74,8.57,0.97,-0.05,-0.22,-0.04,-25.98,4.70,-3.85,10.60,0.00,0,2,1003.43,33.49,87.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8485,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,47,10, 0.0000000, 0.0000000, 0.00, 0.00
6716,4.31,-0.67,8.65,0.97,-0.05,-0.22,-0.04,-26.10,4.66,-3.94,10.60,0.00,0,2,1003.43,33.49,87.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8484,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,47,10, 0.0000000, 0.0000000, 0.00, 0.00
6768,4.23,-0.59,8.84,0.97,-0.05,-0.22,-0.04,-26.15,4.62,-3.98,10.60,0.00,0,2,1003.43,33.49,87.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8486,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,47,10, 0.0000000, 0.0000000, 0.00, 0.00
6825,4.28,-0.67,8.65,0.97,-0.05,-0.23,-0.04,-26.21,4.67,-3.97,10.60,0.00,0,2,1003.44,33.49,87.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8485,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23,59,47,10, 0.0000000, 0.0000000, 0.00, 0.00
