Time,Airspeed,Altitude,Roll,Pitch,Yaw,Rudder,Latitude,Longitude
0,1.37,12.51811821,1.91,7.41,-7.05,0,35.2942328,136.2544382
0.054,1.46,12.60951366,1.73,7.4,-7.04,0,35.2942328,136.2544382
0.203,1.61,12.51561004,1.77,7.41,-7.04,0,35.2942328,136.2544382
0.26,1.69,12.60951366,1.76,7.45,-7.05,0,35.2942328,136.2544382
0.316,1.91,12.60700257,1.77,7.42,-7.04,0,35.2942328,136.2544382
0.373,2.08,12.60449147,1.74,7.39,-7.05,0,35.2942328,136.2544382
0.431,2.46,12.60700257,1.73,7.36,-7.05,0,35.294233,136.254438
0.488,2.69,12.51561004,1.66,7.32,-7.04,0,35.294233,136.254438
0.543,3.3,12.69839618,1.63,7.24,-7.05,-0.0675,35.2942335,136.2544378
0.73,3.52,12.51561004,1.51,6.99,-7.05,0,35.2942335,136.2544378
0.787,3.68,12.97006074,1.49,7.36,-7.07,0,35.2942335,136.2544378
0.843,4.16,13.5209874,1.5,7.5,-7.13,0,35.2942347,136.2544348
0.898,4.52,13.24424906,1.54,7.41,-7.24,-0.0675,35.2942355,136.2544333
0.954,4.56,12.69588217,1.57,7.2,-7.32,0,35.2942355,136.2544333
1.009,4.67,12.41920808,1.69,7.35,-7.36,0,35.2942367,136.2544318
1.065,5.29,13.05893008,1.57,7.52,-7.43,0,35.2942367,136.2544318
1.282,5.13,12.51059369,1.74,8.38,-8.14,0,35.2942367,136.2544318
1.337,5.08,13.24171754,2.06,8.62,-8.15,0,35.2942367,136.2544318
1.395,5.48,13.24171754,2.28,8.66,-8.14,0,35.2942435,136.2544223
1.45,5.62,12.78475701,2.39,8.89,-8.23,-0.0675,35.2942435,136.2544223
1.506,5.42,13.51590685,2.21,9.34,-8.44,0,35.2942452,136.2544188
1.562,5.38,14.43251107,2.46,9.16,-8.52,0,35.2942452,136.2544188
1.619,5.73,13.15032327,2.52,9.36,-8.52,0,35.2942472,136.2544152
1.677,5.9,12.69336816,2.5,9.52,-8.46,0,35.2942472,136.2544152
1.734,5.82,13.33564733,2.51,9.74,-8.56,0,35.2942493,136.2544113
1.789,5.76,13.51590685,2.79,9.74,-8.66,0,35.2942493,136.2544113
1.846,5.86,12.97006074,3.22,9.38,-8.58,0,35.294251,136.2544073
