Time,Altitude,Airspeed,Roll,Pitch,Yaw,Rudder,AoS
0,13.03,0.38,-1.59,-0.79,-0.79,-0.03375,-22.94
0.057,13.09,0.42,-1.59,-0.76,-0.79,-0.10125,-22.94
0.115,13.07,0.71,-1.58,-0.75,-0.79,-0.03375,-22.94
0.167,13.12,0.54,-1.58,-0.74,-0.79,-0.03375,-22.94
0.225,13.01,0.45,-1.58,-0.74,-0.79,0,-22.94
0.282,13.14,0.3,-1.58,-0.75,-0.79,-0.03375,-22.94
0.335,13.05,0.57,-1.58,-0.75,-0.79,-0.0675,-22.94
0.394,13.08,0.73,-1.57,-0.79,-0.79,-0.10125,-22.94
0.447,13.05,0.54,-1.53,-0.93,-0.8,-0.03375,-22.94
0.505,13.06,0.48,-1.53,-0.93,-0.8,-0.0675,-22.94
0.557,13.07,0.75,-1.53,-1.03,-0.8,-0.10125,-22.94
0.615,13.1,0.45,-1.52,-1.03,-0.8,-0.10125,-22.94
0.672,13.07,0.69,-1.52,-1.02,-0.81,-0.03375,-22.94
0.726,13.08,0.59,-1.51,-1.31,-0.81,-0.135,-22.94
0.784,13.02,0.87,-1.45,-1.38,-0.81,-0.03375,-22.94
0.836,13.1,0.73,-1.39,-1.73,-0.83,-0.03375,-22.94
0.893,13.07,1,-1.36,-1.77,-0.88,-0.0675,-22.94
0.945,13.08,1.24,-1.4,-1.78,-0.96,-0.03375,-22.94
1.003,13.1,1.34,-1.4,-1.96,-1.05,-0.0675,-22.94
1.055,13.15,1.58,-1.37,-2.32,-1.1,-0.03375,-22.76
1.114,13.13,1.84,-1.31,-2.85,-1.25,-0.10125,-22.06
1.171,13.07,2.02,-1.18,-3.07,-1.38,-0.03375,-21.97
1.225,13.07,2.16,-1.09,-3.3,-1.59,-0.0675,-22.06
1.282,12.8,2.39,-1.11,-3.26,-1.75,-0.03375,-21.71
1.334,13.6,2.7,-1.12,-3.27,-1.83,-0.10125,-21.09
1.392,13.96,3.04,-1.13,-3.13,-1.9,0,-18.81
1.443,13.74,3.12,-1.1,-2.41,-1.76,0,-17.93
1.5,13.09,3.3,-1.03,-1.76,-1.56,-0.16875,-17.75
1.554,12.3,3.31,-1.01,-1.45,-1.72,-0.10125,-17.49
1.612,14.26,3.58,-1.27,-2.2,-1.82,-0.10125,-15.2
1.67,13.63,3.98,-1.1,-2.19,-1.96,-0.0675,-12.48
1.722,13.23,4.12,-0.79,-2.22,-1.98,-0.10125,-11.95
1.78,12.77,4.35,-0.49,-1.56,-2.3,-0.10125,-11.95
1.833,13.17,4.41,-0.6,-1.33,-2.21,-0.0675,-12.83
1.89,14.51,4.41,-0.92,-1.09,-2.18,-0.10125,-12.04
1.941,13,4.72,-1.12,-0.43,-2.02,-0.0675,-10.46
1.994,12.63,4.61,-0.83,-0.34,-2.05,-0.10125,-10.1
2.051,12.87,4.79,-0.83,-0.7,-2.15,0.03375,-10.63
2.106,14.2,4.96,-1.06,-0.48,-2.21,-0.03375,-11.6
2.16,13.22,5.17,-0.59,-0.19,-2.36,-0.03375,-8.26
2.217,12.82,5.22,-0.28,-0.17,-2.55,-0.03375,-7.91
2.272,13.21,5.6,-0.08,-0.25,-2.82,-0.10125,-11.51
2.329,14.03,5.63,-0.28,0.69,-2.59,-0.10125,-10.98
2.383,13.3,5.88,-0.15,0.89,-2.47,-0.10125,-8.96
2.439,12.8,5.93,-0.01,1.23,-2.42,-0.2025,-8.26
2.49,12.67,6.04,-0.1,1.11,-2.61,-0.16875,-7.82
2.548,13.15,6.05,-0.01,1.55,-2.59,0,-7.56
2.601,13.55,6.17,0.2,1.35,-2.62,0.0675,-6.94
