Time,Latitude,Longitude,Altitude,Roll,Pitch,Yaw,AirSpeed,AoA,AoS,V_N_g,V_E_g,V_D_g,GroundSpeed
0,35.294165,136.2544683,13.03,-1.59,-0.79,-0.79,0.38,-12.28,-22.94,0,0,0,0
0.726,35.294165,136.25446665,13.385,-1.51,-1.31,-0.81,0.59,-12.19,-22.94,0,0.208017237443573,-0.492030492030493,0.534195821924343
1.994,35.2941675,136.25446,13.445,-0.83,-0.34,-2.05,4.61,-4.37,-10.1,0.502017969343337,0.823169817526745,0.53393665158371,1.10214288453678
2.931,35.29417415,136.25444585,12.99,0.17,1.98,-2.31,6.59,-0.409999999999993,-7.29000000000002,1.12162187742303,2.02749420149438,0.389768574908648,2.34961441836605
3.757,35.2941875,136.25441835,12.24,2.34,-1.6,-3.76,7.76,2.40000000000001,-3.69,2.45952515300583,4.02197730948168,1.42168674698795,4.92409978197183
4.595,35.2942167,136.25436415,10.625,3.83,10.32,-2.65,8.83,0.989999999999998,-0.610000000000014,5.30207751976569,7.79193361271165,2.44922341696535,9.7378103697249
5.442,35.2942567,136.2542958,8.71,4.32,11.41,-1.11,10.59,-0.939999999999994,7.90999999999997,5.49918081004302,7.32640890821832,2.20570012391574,9.42243971106253
6.288,35.2943075,136.25422665,7.295,3.7,3.77,-0.01,11.34,-0.849999999999991,11.52,7.28600424973908,7.10807914634598,1.11940298507463,10.2402983414024
7.278,35.2943683,136.25415335,6.93,0.86,-0.75,-0.27,11.46,-2.61,12.22,6.67009869002048,6.68073465731534,-0.32064128256513,9.44591143977924
8.327,35.2944325,136.25407335,7.45,-0.69,-1.85,-1.7,10.98,-1.73,10.2,6.89882251312158,7.16930210455081,-0.654545454545455,9.97101170824385
9.319,35.29449585,136.25398915,8.29,-1.18,-2.3,-2.07,9.94,-0.0599999999999987,8.62,6.94007561412452,7.97363309601489,-1.03004291845494,10.6209445292539
10.286,35.29455165,136.2539083,8.89,-1.4,0.56,-2.09,9.64,-0.0599999999999987,6.68000000000001,6.13425377724891,7.54853625776364,-0.24896265560166,9.7299255620148
11.616,35.29460415,136.25383165,8.86,-1.26,0.93,-1.4,9.85,0.120000000000008,2.01999999999998,3.39603737483017,3.94751539704844,0.177619893428063,5.21032594831833
12.88,35.29465665,136.2537575,8.635,-0.53,0.05,0.2,10.03,-0.59,-0.0800000000000409,7.065018811088,8.15051473233356,0.179211469534051,10.78784028218
